136 5
k mu power error
6.74522e-02 7.02066e-01 3.45468e+04 6.78374e+02
7.28174e-02 6.97080e-01 3.09447e+04 5.40287e+02
7.75471e-02 7.02066e-01 2.92399e+04 5.35682e+02
8.23468e-02 7.00577e-01 2.62664e+04 4.22085e+02
8.75428e-02 6.98842e-01 2.34888e+04 3.59856e+02
9.25241e-02 7.06890e-01 2.09346e+04 3.08015e+02
9.75100e-02 7.00011e-01 1.94375e+04 2.75070e+02
1.02601e-01 6.99199e-01 1.75730e+04 2.34273e+02
1.07544e-01 7.00780e-01 1.66847e+04 2.23217e+02
1.12432e-01 6.97479e-01 1.60219e+04 1.98688e+02
1.17608e-01 6.99889e-01 1.53138e+04 1.83080e+02
1.22414e-01 6.98965e-01 1.48749e+04 1.75911e+02
1.27508e-01 6.99806e-01 1.40512e+04 1.54254e+02
1.32557e-01 7.01614e-01 1.35829e+04 1.51468e+02
1.37506e-01 7.02764e-01 1.26662e+04 1.31999e+02
1.42600e-01 6.98202e-01 1.19065e+04 1.21983e+02
1.47637e-01 7.00135e-01 1.11901e+04 1.12456e+02
1.52522e-01 7.00572e-01 1.04111e+04 1.04984e+02
